StartDate,EndValue,LongValue,N_Buys,N_Sells,N,Threshold
2020-08-27 05:00:00+00:00,3546859.609999999,784190.43,26,26,5,5
2020-09-01 05:00:00+00:00,3941488.4599999995,760961.4,26,25,5,5
2020-09-06 05:00:00+00:00,4185388.129999999,1228361.8699999999,26,25,5,5
2020-09-11 05:00:00+00:00,4016480.409999999,906839.4,25,25,5,5
2020-09-16 05:00:00+00:00,4471563.609999999,1004420.0,26,25,5,5
2020-09-21 05:00:00+00:00,4260913.209999999,792856.99,26,26,5,5
2020-09-26 05:00:00+00:00,4098182.9399999995,806897.2100000001,27,27,5,5
2020-10-01 05:00:00+00:00,4181992.7399999993,845196.2800000001,28,28,5,5
2020-10-06 05:00:00+00:00,4476245.359999999,990995.5,29,28,5,5
2020-10-11 05:00:00+00:00,4549245.099999998,932720.1,29,29,5,5
2020-10-16 05:00:00+00:00,4972839.599999998,1036376.2,30,29,5,5
2020-10-21 05:00:00+00:00,5140637.979999999,1092723.2400000002,30,28,5,5
2020-10-26 05:00:00+00:00,5151393.179999998,1044083.92,31,29,5,5
2020-10-31 05:00:00+00:00,5748674.579999997,1115193.25,32,30,5,5
2020-11-05 06:00:00+00:00,4888327.229999998,1121097.9999999998,32,31,5,5
2020-11-10 06:00:00+00:00,5008872.029999998,1048735.66,33,32,5,5
2020-11-15 06:00:00+00:00,4844501.129999998,1024176.12,33,33,5,5
2020-11-20 06:00:00+00:00,4470402.069999999,872800.96,32,32,5,5
2020-11-25 06:00:00+00:00,4100292.499999999,719157.28,33,33,5,5
2020-11-30 06:00:00+00:00,3914175.839999999,750865.33,34,33,5,5
2020-12-05 06:00:00+00:00,4081327.4399999995,707177.2000000001,34,34,5,5
2020-12-10 06:00:00+00:00,3797513.6699999995,733580.3200000001,35,34,5,5
2020-12-15 06:00:00+00:00,3639043.299999999,662563.84,34,34,5,5
2020-12-20 06:00:00+00:00,3638040.099999999,588515.2300000001,35,35,5,5
2020-12-25 06:00:00+00:00,3260489.499999999,660182.1,36,35,5,5
2020-12-30 06:00:00+00:00,2187366.539999999,499748.88,36,36,5,5
2021-01-04 06:00:00+00:00,2005006.1799999992,340860.62,37,36,5,5
2021-01-09 06:00:00+00:00,1824373.2,262477.0,37,36,5,5
2021-01-14 06:00:00+00:00,1574952.8,294545.1,37,36,5,5
2021-01-19 06:00:00+00:00,1650546.6999999997,233140.0,36,36,5,5
2021-01-24 06:00:00+00:00,1676994.9999999998,185978.8,35,35,5,5
2021-01-29 06:00:00+00:00,1489635.9999999998,193214.0,36,35,5,5
2021-02-03 06:00:00+00:00,1504484.0,170688.0,35,34,5,5
2021-02-08 06:00:00+00:00,1566642.0999999996,197960.0,37,34,5,5
2021-02-13 06:00:00+00:00,1478525.4999999998,156529.8,34,34,5,5
2021-02-18 06:00:00+00:00,1442196.6,152265.2,35,33,5,5
2021-02-23 06:00:00+00:00,1441103.2000000002,161128.0,35,34,5,5
2021-02-28 06:00:00+00:00,1421809.8999999997,191330.3,34,33,5,5
2021-03-05 06:00:00+00:00,1301340.9,177264.4,34,34,5,5
2021-03-10 06:00:00+00:00,1341967.1999999997,143461.0,33,32,5,5
2021-03-15 05:00:00+00:00,1344961.8000000003,136623.0,32,32,5,5
2021-03-20 05:00:00+00:00,1499477.4000000004,159232.6,33,32,5,5
2021-03-25 05:00:00+00:00,1527614.0999999996,198525.7,33,32,5,5
2021-03-30 05:00:00+00:00,1461392.9000000001,186487.5,33,32,5,5
2021-04-04 05:00:00+00:00,1544822.7,172877.7,34,33,5,5
